mgrastID,metagenomeID,sampleID
4664901.3,CPER.001.NE.Mineral.25.38.20130701.join,CPER_001-M-25-38-20130701
4664858.3,CPER.001.NE.Mineral.38.38.20131024.join,CPER_001-M-38-38-20131024
4664891.3,CPER.002.SE.Mineral.36.5.20130701.join,CPER_002-M-36-5-20130701
4664866.3,CPER.002.SE.Mineral.38.8.20131024.join,CPER_002-M-38-8-20131024
4664889.3,CPER.003.SW.Mineral.3.10.20130701.join,CPER_003-M-3-10-20130701
4664890.3,CPER.004.NW.Mineral.5.35.20130701.join,CPER_004-M-5-35-20130701
4637811.3,CPER_001.SE.Mineral.20_7.20140116.join,CPER_001-M-20-7-20140116
4637812.3,CPER_001.XX.Mineral.xx_xx.20130701.join,CPER_001-M-20130701-C
4637813.3,CPER_001.XX.Mineral.xx_xx.20131024.join,CPER_001-M-20131024-C
4637814.3,CPER_001.XX.Mineral.xx_xx.20140116.join,CPER_001-M-20140116-C
4637816.3,CPER_002.NW.Mineral.14_37.20140117.join,CPER_002-M-14-37-20140117
4637817.3,CPER_002.XX.Mineral.xx_xx.20130701.join,CPER_002-M-20130701-C
4637818.3,CPER_002.XX.Mineral.xx_xx.20131024.join,CPER_002-M-20131024-C
4637819.3,CPER_002.XX.Mineral.xx_xx.20140117.join,CPER_002-M-20140117-C
4637821.3,CPER_003.23.Mineral.35_15.20140415.join,CPER_003-M-35-15-20140415
4637822.3,CPER_003.NW.Mineral.7_21.20140116.join,CPER_003-M-7-21-20140116
4637823.3,CPER_003.XX.Mineral.xx_xx.20130701.join,CPER_003-M-20130701-C
4637824.3,CPER_003.XX.Mineral.xx_xx.20140116.join,CPER_003-M-20140116-C
4637825.3,CPER_003.xx.Mineral.xx_xx.20140415.join,CPER_003-M-20140415-C
4637827.3,CPER_004.SW.Mineral.10_5.20140117.join,CPER_004-M-10-5-20140117
4637828.3,CPER_004.XX.Mineral.xx_xx.20130701.join,CPER_004-M-20130701-C
4637829.3,CPER_004.XX.Mineral.xx_xx.20140117.join,CPER_004-M-20140117-C
4664926.3,DSNY.101.23.M.35.7.20131114.join,DSNY_101-M-35-7-20131114
4664912.3,DSNY.101.39.M.9.26.20130731.join,DSNY_101-M-9-26-20130731
4664918.3,DSNY.101.xx.M.xx.x.20131114.join,DSNY_101-M-20131114-C
4664865.3,DSNY.201.23.M.24.9.20131114.join,DSNY_201-M-24-9-20131114
4664870.3,DSNY.201.39.M.6.30.20130731.join,DSNY_201-M-6-30-20130731
4664925.3,DSNY.201.xx.M.xx.x.20131114.join,DSNY_201-M-20131114-C
4664910.3,DSNY.265.39.M.1.21.20130731.join,DSNY_265-M-1-21-20130731
4664897.3,DSNY.265.xx.M.xx.x.20130731.join,DSNY_265-M-20130731-C
4664915.3,DSNY.293.39.M.16.35.20130731.join,DSNY_293-M-16-35-20130731
4664922.3,DSNY.293.xx.M.xx.x.20130731.join,DSNY_293-M-20130731-C
4637834.3,DSNY_009.21.M.4.7.20140910.join,DSNY_009-M-4-7-20140910
4637835.3,DSNY_009.23.M.33.14.20140409.join,DSNY_009-M-33-14-20140409
4637836.3,DSNY_009.23.M.37.16.20140327.join,DSNY_009-M-37-16-20140327
4637837.3,DSNY_009.xx.M.xx.xx.20140327.join,DSNY_009-M-20140327-C
4637838.3,DSNY_009.xx.M.xx.xx.20140409.join,DSNY_009-M-20140409-C
4637839.3,DSNY_009.xx.M.xx.xx.20140910.join,DSNY_009-M-20140910-C
4637840.3,DSNY_016.23.M.23.38.20140910.join,DSNY_016-M-23-38-20140910
4637841.3,DSNY_016.23.M.35.17.20140327.join,DSNY_016-M-35-17-20140327
4637842.3,DSNY_016.23.M.37.14.20140410.join,DSNY_016-M-37-14-20140410
4637843.3,DSNY_016.xx.M.xx.xx.20140327.join,DSNY_016-M-20140327-C
4637844.3,DSNY_016.xx.M.xx.xx.20140410.join,DSNY_016-M-20140410-C
4637845.3,DSNY_016.xx.M.xx.xx.20140910.join,DSNY_016-M-20140910-C
4637848.3,DSNY_101.xx.M.xx.xx.20130731.join,DSNY_101-M-20130731-C
4637849.3,DSNY_201.xx.M.xx.xx.20130731.join,DSNY_201-M-20130731-C
4664892.3,HARV.001.05.04.Mineral.13.7.20131122.join,HARV_001-M-13-7-20131122
4664909.3,HARV.001.50.Mineral.25.38.20130709.join,HARV_001-M-25-38-20130709
4664893.3,HARV.001.xx.Mineral.x.x.2013070x.join,HARV_001-M-2013070-C
4664868.3,HARV.001.xx.xx.Mineral.x.x.20131122.join,HARV_001-M-20131122-C
4664873.3,HARV.004.51.Mineral.34.37.20130709.join,HARV_004-M-34-37-20130709
4664863.3,HARV.004.xx.Mineral.x.x.20130709.join,HARV_004-M-20130709-C
4664900.3,OSBS.047.23.M.30.7.20131112.join,OSBS_047-M-30-7-20131112
4664920.3,OSBS.047.39.M.9.26.20130726.join,OSBS_047-M-9-26-20130726
4664877.3,OSBS.047.xx.M.xx.x.20130726.join,OSBS_047-M-20130726-C
4664886.3,OSBS.047.xx.M.xx.x.20131112.join,OSBS_047-M-20131112-C
4664914.3,OSBS.048.39.M.9.22.20130726.join,OSBS_048-M-9-22-20130726
4664852.3,OSBS.048.xx.M.xx.x.20130726.join,OSBS_048-M-20130726-C
4664884.3,OSBS.119.xx.M.xx.x.20131112.join,OSBS_119-M-20131112-C
4637854.3,OSBS_087.21.M.8.19.20131112.join,OSBS_087-M-8-19-20131112
4637855.3,OSBS_087.xx.M.xx.xx.20131112.join,OSBS_087-M-20131112-C
4637857.3,STER_001.SE.Mineral.22_2.20130627.join,STER_001-M-22-2-20130627
4637858.3,STER_001.XX.Mineral.xx_xx.20130627.join,STER_001-M-20130627-C
4637859.3,STER_003.NE.Mineral.38_30_20131217.join,STER_003-M-38-30-20131217
4637860.3,STER_003.SE.Mineral.38_5.20130627.join,STER_003-M-38-5-20130627
4637861.3,STER_003.XX.Mineral.xx_xx.20130627.join,STER_003-M-20130627-C
4637862.3,STER_003.XX.Mineral.xx_xx_20131217.join,STER_003-M-20131217-C
4637863.3,STER_004.NW.Mineral.7_21_20131217.join,STER_004-M-7-21-20131217
4637864.3,STER_004.SW.Mineral.3_10.20130627.join,STER_004-M-3-10-20130627
4637865.3,STER_004.XX.Mineral.xx_xx.20130627.join,STER_004-M-20130627-C
4637866.3,STER_004.XX.Mineral.xx_xx_20131217.join,STER_004-M-20131217-C
4637867.3,STER_005.NW.Mineral.5_35.20130627.join,STER_005-M-5-35-20130627
4637868.3,STER_005.XX.Mineral.xx_xx.20130627.join,STER_005-M-20130627-C
4664905.3,TALL.004.21.M.24.15.20140708.join,TALL_004-M-24-15-20140708
4664894.3,TALL.004.xx.M.xx.x.20140708.join,TALL_004-M-20140708-C
